ball_init_position_x,ball_init_position_y,ball_init_position_z,estimated_init_vel_x,estimated_init_vel_y,estimated_init_vel_z,goal_position_y,goal_position_z,table_hit_point_x,table_hit_point_y,table_hit_point_z,paddle_hitting_vel_joint3,paddle_hitting_vel_joint4,paddle_hitting_vel_joint5
-1.4,-0.2,2.1,6.191849407701007,0.0,-3.0369311650166253,-0.21595701077464524,1.4794298188216208,0.9765828614920314,-0.23511708212675045,1.2228857408011444,0,0,-10
-1.4,-0.2,2.1,6.291623287076984,0.0,-3.0368860890843052,-0.2135093208912343,1.5332115609496748,0.9041232737379865,-0.18193386502110467,1.2248561733784407,0,0,-10
-1.4,-0.2,2.1,6.391393878785596,0.0,-3.036840880680778,-0.21106545874360505,1.5829796987791207,0.7002309199906581,-0.19075197581297745,1.2283640028143934,0,0,-10
-1.4,-0.2,2.1,6.491161180454981,0.0,-3.036795544825388,-0.20862590396288339,1.6288021683463265,0.42645852273268403,-0.2258694181814787,1.2218458296384966,0,0,-10
-1.4,-0.2,2.1,6.5909251898602506,0.0,-3.036750086300124,-0.20619185097027126,1.6707738778537538,0.7103461307172569,-0.2197675090148451,1.2312621479620183,0,0,-10
-1.4,-0.2,2.1,6.690685904913529,0.0,-3.0367045096627265,-0.20376354004699293,1.7090227087467307,0.5081335986472855,-0.24090228087985563,1.229394541060413,0,0,-10
-1.4,-0.2,2.1,6.790443323653772,0.0,-3.0366588192590527,-0.20262354976009134,1.7170832395795945,0.4783701561104709,-0.22259540130617353,1.2214536345827411,0,0,-10
-1.4,-0.2,2.1,6.989948264934505,0.0,-3.0365671135433914,-0.20186012706696543,1.70048753518732,0.3676536241707064,-0.1614276112955143,1.2281429709783995,0,0,-10
-1.4,-0.2,2.1,7.089695784111978,0.0,-3.0365211059628194,-0.2014804492050365,1.69215365758027,0.3197041508137961,-0.17024182844396363,1.2315405470495708,0,0,-10
-1.4,-0.2,2.1,7.189440000236047,0.0,-3.0364750000983065,-0.20110124992649558,1.6838086824961533,0.29109198647868734,-0.18879015669548307,1.2292254627244739,0,0,-10
-1.4,-0.2,2.1,7.289180911860935,0.0,-3.0364287993948835,-0.20072396457405317,1.6754622111879338,0.3529316531975591,-0.21557733959312206,1.2282735318599525,0,0,-10
-1.4,-0.2,2.1,7.388918517624052,0.0,-3.0363825071448503,-0.20034763618466,1.667123735933564,0.27054737689849645,-0.22557862435345247,1.2223714664907452,0,0,-10
-1.4,-0.2,2.1,7.48865281624024,0.0,-3.0363361264960886,-0.19997274324529768,1.6588011867409107,0.29265248853954345,-0.22338098091251185,1.2240183831963762,0,0,-10
-1.4,-0.2,2.1,7.588383806496974,0.0,-3.0362896604593104,-0.1995988072871745,1.650498401343551,0.2379218270113128,-0.1462516658133359,1.2274264415461271,0,0,-10
-1.4,-0.2,2.1,7.688111487249305,0.0,-3.0362431119153044,-0.1992265460125685,1.642222525941064,0.20283683244193584,-0.1442288044208024,1.2211989813090938,0,0,-10
-1.4,-0.2,2.1,7.787835857415697,0.0,-3.0361964836214383,-0.19885524178832326,1.6339795048216088,0.18929689295816196,-0.11085014409586715,1.2215756491785577,0,0,-10
-1.4,-0.2,2.1,7.887556915973928,0.0,-3.036149778217947,-0.1984853728485808,1.6257749606146172,0.06826849698885026,-0.19504182297481348,1.2284702109736771,0,0,-10
-1.4,-0.2,2.1,8.086989094451198,0.0,-3.036056146093067,-0.19774970240402523,1.6094896625862711,0.0690901434744531,-0.22462397032956502,1.2203264348855143,0,0,-10
-1.4,-0.2,2.1,8.286408015552524,0.0,-3.035962234537095,-0.1970195343296558,1.5933980060157216,0.016384301342016076,-0.16740269974051836,1.2237854870625826,0,0,-10
-1.4,-0.2,2.1,8.386112502562675,0.0,-3.035915179486679,-0.19665636439319256,1.5854297494056688,-0.060933213483343664,-0.14007044071911254,1.2245043208525583,0,0,-10
-1.4,-0.2,2.1,8.485813672883129,0.0,-3.0358680610175526,-0.19629486897471848,1.5775195101274206,0.034748356329273596,-0.12105586858313351,1.2287725543275487,0,0,-10
-1.4,-0.2,2.1,8.585511525815033,0.0,-3.0358208810982745,-0.19595107729989591,1.5703810366179736,-0.025298008524768618,-0.21006848648292262,1.2242693475601234,0,0,-10
-1.4,-0.2,2.1,8.685206060695023,0.0,-3.0357736416189596,-0.19566661832365695,1.5658936440901747,0.28142423081738066,-0.3814881128114305,1.2244110989815549,0,0,-10
-1.4,-0.2,2.1,8.784897276893204,0.0,-3.035726344395435,-0.19538383386540714,1.5613543338202012,-0.12558964914161683,-0.18438273233027755,1.2311346622818546,0,0,-10
-1.4,-0.2,2.1,8.884585173811335,0.0,-3.0356789911723325,-0.19510296280938688,1.5567696862937865,0.16712177143817758,-0.27622748000211167,1.2281344868155528,0,0,-10
